,Player,Nation,Pos,Squad,Comp,Age,Born,MP,MP,MP,MP,Starts,Min,90s,W,D,L,CS,CS%,GA,GA90,SoTA,Saves,Save%,PSxG,PSxG+/-,PSxG/SoT,PKA,PKsv,PKm,Cmp%,Att (GK),Thr,Launch%,AvgLen,Stp,Stp%,AvgDist
2384,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,29-061,1995.0,19,19,19,19,19,1710,19.0,6.0,2.0,11.0,7.0,36.8,21.0,1.11,81.0,58.0,74.1,25.9,4.9,0.3,0.0,2.0,0.0,33.6,675.0,72.0,35.3,33.1,15.0,5.5,13.1
2385,Devis Vásquez,co COL,GK,Empoli,it Serie A,26-265,1998.0,21,21,21,21,21,1890,21.0,4.0,9.0,8.0,5.0,23.8,26.0,1.24,80.0,53.0,68.8,24.4,-1.6,0.29,1.0,1.0,1.0,28.5,649.0,70.0,47.1,38.6,28.0,7.7,10.6
2400,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,22-167,2002.0,21,21,21,21,21,1890,21.0,6.0,10.0,5.0,4.0,19.0,30.0,1.43,83.0,54.0,69.9,28.6,-0.4,0.3,5.0,0.0,0.0,35.5,749.0,82.0,24.2,28.5,18.0,7.2,14.7
2408,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,28-117,1996.0,12,12,12,12,12,1080,12.0,6.0,1.0,5.0,3.0,25.0,13.0,1.08,41.0,28.0,68.3,15.9,2.9,0.39,0.0,0.0,0.0,32.3,423.0,69.0,6.6,20.8,19.0,13.0,14.1
2413,Fran Vieites,es ESP,GK,Betis,es La Liga,25-270,1999.0,4,4,4,4,4,360,4.0,1.0,2.0,1.0,0.0,0.0,5.0,1.25,11.0,6.0,54.5,4.7,-0.3,0.42,0.0,0.0,0.0,22.2,90.0,16.0,40.0,38.0,6.0,9.2,12.8
2416,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27-207,1997.0,4,4,4,4,4,360,4.0,2.0,0.0,2.0,0.0,0.0,9.0,2.25,18.0,10.0,50.0,8.2,1.2,0.4,0.0,1.0,0.0,13.6,82.0,15.0,14.6,24.0,1.0,1.5,14.8
2440,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,29-084,1995.0,6,6,6,6,6,540,6.0,1.0,1.0,4.0,1.0,16.7,16.0,2.67,33.0,17.0,57.6,15.0,-1.0,0.41,2.0,0.0,0.0,35.2,176.0,27.0,45.5,35.2,11.0,10.5,7.6
2445,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31-224,1993.0,2,2,2,2,1,135,1.5,0.0,0.0,1.0,0.0,0.0,6.0,4.0,10.0,4.0,40.0,2.8,-3.2,0.28,0.0,0.0,0.0,45.5,46.0,9.0,37.0,32.0,0.0,0.0,20.7
2453,Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,26-014,1999.0,19,19,19,19,19,1710,19.0,3.0,3.0,13.0,1.0,5.3,48.0,2.53,108.0,62.0,59.3,33.9,-12.1,0.29,4.0,0.0,0.0,37.6,582.0,76.0,42.1,35.3,20.0,5.5,11.4
2521,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,30-096,1994.0,20,20,20,20,20,1800,20.0,9.0,4.0,7.0,6.0,30.0,24.0,1.2,91.0,66.0,76.9,26.7,2.7,0.26,3.0,1.0,0.0,28.8,621.0,96.0,42.4,37.6,30.0,8.5,14.7
2527,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29-204,1995.0,20,20,20,20,20,1800,20.0,8.0,6.0,6.0,4.0,20.0,36.0,1.8,89.0,56.0,59.6,29.7,-3.3,0.34,0.0,0.0,0.0,35.1,743.0,105.0,25.8,31.0,20.0,7.3,12.8
