,Player,Nation,Pos,Squad,Comp,Age,Born,MP,MP,MP,MP,Starts,Min,90s,W,D,L,CS,CS%,GA,GA90,SoTA,Saves,Save%,PSxG,PSxG+/-,PSxG/SoT,PKA,PKsv,PKm,Cmp%,Att (GK),Thr,Launch%,AvgLen,Stp,Stp%,AvgDist
668,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26-186,1998.0,1,1,1,1,0,19,0.2,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,40.0,8.0,1.0,25.0,30.0,0.0,0.0,
674,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25-342,1999.0,15,15,15,15,15,1281,14.2,11.0,4.0,0.0,3.0,20.0,13.0,0.91,46.0,33.0,73.9,13.0,0.0,0.27,1.0,0.0,0.0,34.4,345.0,66.0,13.3,24.8,6.0,4.8,13.8
694,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31-363,1993.0,19,19,19,19,19,1710,19.0,2.0,4.0,13.0,2.0,10.5,43.0,2.26,92.0,47.0,55.4,38.7,-4.3,0.38,2.0,2.0,0.0,44.6,629.0,57.0,51.5,38.0,9.0,3.4,16.4
697,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-017,1989.0,8,8,8,8,8,720,8.0,7.0,0.0,1.0,5.0,62.5,6.0,0.75,30.0,24.0,80.0,8.6,2.6,0.29,0.0,0.0,0.0,22.2,215.0,35.0,17.7,25.6,7.0,7.3,15.4
713,Ederson,br BRA,GK,Manchester City,eng Premier League,31-168,1993.0,15,15,15,15,15,1350,15.0,9.0,2.0,4.0,3.0,20.0,20.0,1.33,54.0,35.0,66.7,21.5,2.5,0.38,2.0,0.0,0.0,44.7,516.0,54.0,19.8,28.2,9.0,7.6,17.4
764,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39-289,1985.0,13,13,13,13,12,1070,11.9,5.0,3.0,4.0,2.0,16.7,20.0,1.68,67.0,47.0,74.6,22.3,2.3,0.3,3.0,0.0,0.0,33.7,359.0,52.0,41.5,35.4,7.0,3.5,13.7
769,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-295,1995.0,23,23,23,23,23,2070,23.0,6.0,5.0,12.0,5.0,21.7,41.0,1.78,115.0,74.0,68.7,35.6,-4.4,0.27,5.0,1.0,0.0,34.6,592.0,73.0,49.8,37.7,15.0,4.3,10.9
786,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26-294,1998.0,8,8,8,8,7,657,7.3,2.0,1.0,4.0,3.0,42.9,12.0,1.64,29.0,17.0,65.5,8.4,-3.6,0.22,2.0,0.0,0.0,26.8,254.0,24.0,42.1,35.1,5.0,5.2,17.5
794,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-233,1993.0,23,23,23,23,23,2015,22.4,9.0,4.0,10.0,2.0,8.7,40.0,1.79,142.0,103.0,72.5,38.4,-0.6,0.27,1.0,0.0,0.0,36.5,975.0,75.0,32.0,33.7,27.0,7.3,11.9
800,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-164,2000.0,19,19,19,19,19,1710,19.0,6.0,4.0,9.0,4.0,21.1,28.0,1.47,103.0,75.0,74.8,35.4,7.4,0.33,2.0,0.0,0.0,35.1,429.0,107.0,38.0,35.1,26.0,9.1,10.5
809,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36-321,1988.0,7,7,7,7,7,630,7.0,1.0,2.0,4.0,1.0,14.3,15.0,2.14,42.0,27.0,69.0,16.5,1.5,0.36,2.0,0.0,0.0,35.5,141.0,30.0,21.3,27.2,4.0,4.9,11.1
840,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,31-284,1993.0,1,1,1,1,0,45,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,2.0,13.3,23.8,0.0,0.0,28.0
848,Joan García,es ESP,GK,Espanyol,es La Liga,23-273,2001.0,21,21,21,21,21,1890,21.0,5.0,5.0,11.0,2.0,9.5,33.0,1.57,108.0,74.0,71.3,35.0,2.0,0.31,2.0,1.0,0.0,34.9,548.0,124.0,33.4,33.3,31.0,9.2,13.4
857,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-030,1992.0,21,21,21,21,21,1845,20.5,8.0,4.0,9.0,6.0,28.6,27.0,1.32,71.0,41.0,62.0,21.4,-5.6,0.28,0.0,3.0,0.0,27.7,622.0,81.0,18.8,28.6,22.0,9.7,13.8
860,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-086,1990.0,18,18,18,18,18,1620,18.0,10.0,3.0,5.0,6.0,33.3,19.0,1.06,69.0,48.0,73.9,18.4,-0.6,0.23,1.0,2.0,0.0,44.5,421.0,59.0,42.0,36.2,6.0,2.5,14.5
890,Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,29-320,1995.0,7,7,7,7,7,630,7.0,1.0,2.0,4.0,1.0,14.3,15.0,2.14,32.0,16.0,62.5,12.2,-2.8,0.29,3.0,1.0,0.0,44.0,198.0,21.0,24.7,30.4,2.0,2.2,9.6
911,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,34-180,1990.0,2,2,2,2,2,180,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,10.0,8.0,80.0,2.9,0.9,0.29,0.0,0.0,0.0,44.4,55.0,13.0,27.3,29.3,3.0,7.0,6.1
918,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-024,1999.0,19,19,19,19,19,1710,19.0,8.0,4.0,7.0,4.0,21.1,34.0,1.79,97.0,63.0,66.0,36.7,3.7,0.37,1.0,1.0,0.0,34.5,649.0,64.0,45.6,37.9,6.0,2.2,12.4
929,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,27-301,1997.0,16,16,16,16,16,1440,16.0,7.0,2.0,7.0,4.0,25.0,19.0,1.19,55.0,36.0,69.1,14.7,-4.3,0.24,2.0,0.0,0.0,40.2,452.0,62.0,40.3,36.4,8.0,3.3,11.1
938,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,38-022,1987.0,17,17,17,17,17,1530,17.0,5.0,4.0,8.0,4.0,23.5,24.0,1.41,62.0,38.0,62.9,18.9,-5.1,0.29,1.0,0.0,0.0,34.5,380.0,109.0,21.8,28.4,20.0,8.8,13.4
960,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34-271,1990.0,18,18,18,18,18,1575,17.5,8.0,5.0,5.0,8.0,44.4,28.0,1.6,86.0,57.0,68.6,29.0,1.0,0.33,1.0,1.0,0.0,36.4,413.0,73.0,18.6,27.9,11.0,4.5,14.7
1001,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,27-326,1997.0,23,23,23,23,23,2070,23.0,6.0,9.0,8.0,6.0,26.1,30.0,1.3,92.0,63.0,68.5,30.5,2.5,0.33,1.0,1.0,0.0,25.9,578.0,72.0,47.9,38.3,17.0,5.1,15.5
1008,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24-205,2000.0,16,16,16,16,16,1395,15.5,3.0,5.0,8.0,1.0,6.3,31.0,2.0,93.0,64.0,67.7,34.8,5.8,0.37,1.0,0.0,0.0,27.5,500.0,87.0,36.8,33.8,18.0,6.7,12.9
1017,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,31-241,1993.0,21,21,21,21,21,1890,21.0,6.0,9.0,6.0,5.0,23.8,30.0,1.43,105.0,76.0,72.4,31.8,2.8,0.3,1.0,0.0,0.0,41.7,562.0,71.0,44.1,38.5,22.0,7.1,18.7
1040,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,25-328,1999.0,3,3,3,3,2,211,2.3,0.0,0.0,2.0,0.0,0.0,5.0,2.13,9.0,3.0,44.4,4.1,-0.9,0.39,0.0,1.0,0.0,36.8,85.0,9.0,16.5,26.8,0.0,0.0,23.8
1043,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,35-069,1989.0,17,17,17,17,17,1530,17.0,11.0,6.0,0.0,2.0,11.8,23.0,1.35,63.0,42.0,68.3,19.8,-1.2,0.28,3.0,0.0,0.0,38.6,438.0,65.0,29.0,30.3,9.0,4.6,14.2
1089,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,22-294,2002.0,21,21,21,21,21,1890,21.0,4.0,3.0,14.0,5.0,23.8,42.0,2.0,105.0,64.0,61.9,37.6,-3.4,0.35,2.0,0.0,0.0,36.2,661.0,96.0,32.2,33.7,28.0,8.0,14.7
1095,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23-193,2001.0,1,1,1,1,0,12,0.1,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.03,0.0,0.0,0.0,71.4,7.0,2.0,85.7,50.9,0.0,0.0,11.0
1118,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-004,1990.0,3,3,3,3,3,270,3.0,1.0,1.0,1.0,0.0,0.0,6.0,2.0,22.0,16.0,77.3,6.7,0.7,0.26,1.0,0.0,0.0,27.3,122.0,21.0,15.6,23.9,2.0,4.2,11.1
1119,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31-313,1993.0,7,7,7,7,7,630,7.0,0.0,1.0,6.0,0.0,0.0,17.0,2.43,39.0,23.0,61.5,13.0,-3.0,0.29,2.0,0.0,0.0,40.3,252.0,28.0,45.6,36.6,8.0,7.7,13.4
1125,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,31-317,1993.0,7,7,7,7,7,630,7.0,1.0,1.0,5.0,2.0,28.6,12.0,1.71,35.0,25.0,74.3,10.1,0.1,0.22,3.0,0.0,0.0,23.6,234.0,45.0,26.5,30.5,6.0,5.2,10.0
1134,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-018,2001.0,7,7,7,7,6,558,6.2,2.0,2.0,2.0,1.0,16.7,7.0,1.13,22.0,15.0,72.7,7.3,0.3,0.3,1.0,0.0,0.0,36.9,145.0,34.0,33.8,32.7,6.0,7.3,16.3
1141,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22-291,2002.0,2,2,2,2,2,180,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.5,10.0,7.0,80.0,4.3,1.3,0.34,1.0,0.0,0.0,0.0,44.0,7.0,11.4,21.4,1.0,5.3,9.3
1181,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,26-070,1998.0,8,8,8,8,8,720,8.0,6.0,2.0,0.0,3.0,37.5,9.0,1.13,31.0,21.0,71.0,10.4,1.4,0.31,0.0,1.0,0.0,26.6,281.0,37.0,29.9,29.1,4.0,4.6,15.1
1201,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,21-325,2003.0,3,3,3,3,3,270,3.0,0.0,0.0,3.0,0.0,0.0,7.0,2.33,13.0,8.0,46.2,3.7,-1.3,0.29,0.0,0.0,0.0,44.4,97.0,15.0,17.5,27.0,2.0,4.3,9.9
1209,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-057,1997.0,17,17,17,17,17,1530,17.0,6.0,5.0,6.0,3.0,17.6,29.0,1.71,70.0,41.0,62.9,26.8,-2.2,0.35,3.0,0.0,0.0,33.3,655.0,63.0,20.2,26.6,9.0,4.2,14.5
1211,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,28-108,1996.0,3,3,3,3,3,270,3.0,1.0,0.0,2.0,0.0,0.0,4.0,1.33,15.0,11.0,80.0,6.9,2.9,0.43,1.0,0.0,0.0,47.8,60.0,12.0,31.7,33.8,2.0,7.4,10.4
1214,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,26-305,1998.0,10,10,10,10,10,900,10.0,6.0,3.0,1.0,4.0,40.0,10.0,1.0,33.0,23.0,72.7,8.1,-1.9,0.22,1.0,0.0,0.0,32.5,241.0,34.0,24.1,29.9,6.0,5.1,16.9
1240,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24-260,2000.0,2,2,2,2,2,180,2.0,1.0,0.0,1.0,1.0,50.0,3.0,1.5,8.0,5.0,62.5,2.3,-0.7,0.29,0.0,0.0,0.0,40.0,57.0,4.0,22.8,30.1,1.0,5.6,18.9
1267,Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,25-114,1999.0,15,15,15,15,15,1350,15.0,4.0,4.0,7.0,2.0,13.3,32.0,2.13,74.0,42.0,60.8,25.9,-6.1,0.32,3.0,0.0,0.0,37.7,397.0,72.0,38.8,35.2,12.0,5.5,13.3
1270,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,26-009,1999.0,12,12,12,12,12,1080,12.0,2.0,4.0,6.0,2.0,16.7,19.0,1.58,49.0,32.0,67.3,16.8,-0.2,0.3,3.0,0.0,0.0,28.0,309.0,56.0,34.0,34.9,16.0,8.0,10.6
1282,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,27-344,1997.0,19,19,19,19,19,1710,19.0,5.0,3.0,11.0,3.0,15.8,39.0,2.05,107.0,68.0,71.0,35.1,-2.9,0.27,8.0,1.0,0.0,26.5,605.0,87.0,38.0,34.7,15.0,5.1,13.6
1294,Nicola Leali,it ITA,GK,Genoa,it Serie A,31-350,1993.0,15,15,15,15,15,1350,15.0,5.0,6.0,4.0,7.0,46.7,15.0,1.0,62.0,47.0,79.0,19.9,5.9,0.29,2.0,1.0,0.0,45.1,384.0,61.0,33.6,31.8,9.0,3.9,8.2
1296,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,33-281,1991.0,17,17,17,17,17,1530,17.0,3.0,3.0,11.0,0.0,0.0,38.0,2.24,98.0,62.0,65.3,34.8,-1.2,0.32,4.0,0.0,0.0,36.1,516.0,62.0,42.2,35.8,12.0,4.9,14.5
1309,Bernd Leno,de GER,GK,Fulham,eng Premier League,32-334,1992.0,23,23,23,23,23,2070,23.0,8.0,9.0,6.0,4.0,17.4,31.0,1.35,92.0,62.0,67.4,26.6,-3.4,0.28,1.0,0.0,0.0,33.0,769.0,90.0,20.9,28.3,18.0,6.2,13.1
1310,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-090,1992.0,17,17,17,17,17,1530,17.0,6.0,4.0,7.0,4.0,23.5,26.0,1.53,91.0,67.0,75.8,26.4,2.4,0.26,4.0,0.0,0.0,33.5,492.0,89.0,54.7,42.2,18.0,6.1,15.0
1345,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34-123,1990.0,4,4,4,4,4,360,4.0,0.0,4.0,0.0,0.0,0.0,5.0,1.25,15.0,10.0,66.7,4.7,-0.3,0.32,0.0,0.0,0.0,27.8,105.0,10.0,51.4,40.1,4.0,5.6,11.2
1351,Pau López,es ESP,GK,Girona,es La Liga,30-050,1994.0,1,1,1,1,0,45,0.5,0.0,0.0,0.0,0.0,,2.0,4.0,3.0,1.0,33.3,1.3,-0.7,0.44,0.0,0.0,0.0,44.4,17.0,2.0,35.3,35.8,3.0,17.6,9.8
1371,Joe Lumley,eng ENG,GK,Southampton,eng Premier League,29-352,1995.0,3,3,3,3,3,270,3.0,0.0,1.0,2.0,0.0,0.0,7.0,2.33,20.0,13.0,65.0,7.7,0.7,0.39,0.0,0.0,0.0,30.0,135.0,14.0,34.1,30.0,2.0,3.6,18.0
1373,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,25-356,1999.0,3,3,3,3,3,270,3.0,2.0,0.0,1.0,2.0,66.7,4.0,1.33,8.0,4.0,50.0,2.8,-1.2,0.35,0.0,0.0,0.0,38.5,87.0,12.0,24.1,28.6,1.0,3.3,12.9
1400,Mike Maignan,fr FRA,GK,Milan,it Serie A,29-213,1995.0,21,21,21,21,21,1890,21.0,9.0,7.0,5.0,8.0,38.1,23.0,1.1,74.0,51.0,68.9,17.7,-4.3,0.23,0.0,1.0,0.0,38.0,755.0,89.0,16.2,26.9,15.0,6.0,17.7
1404,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,25-077,1999.0,9,9,9,9,9,810,9.0,4.0,1.0,4.0,2.0,22.2,12.0,1.33,35.0,23.0,68.6,11.2,-0.8,0.31,1.0,0.0,0.0,24.3,202.0,43.0,27.2,30.7,10.0,10.5,14.6
1419,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,24-125,2000.0,17,17,17,17,17,1530,17.0,3.0,5.0,9.0,4.0,23.5,30.0,1.76,68.0,39.0,58.8,25.6,-2.4,0.34,2.0,1.0,0.0,30.7,427.0,63.0,38.2,36.3,8.0,3.6,15.8
1423,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,39-310,1985.0,16,16,16,16,16,1395,15.5,5.0,2.0,9.0,5.0,31.3,23.0,1.48,51.0,29.0,58.8,17.0,-4.0,0.29,2.0,1.0,0.0,34.1,408.0,60.0,34.8,33.1,7.0,4.1,15.6
1461,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,32-152,1992.0,23,23,23,23,23,2025,22.5,10.0,7.0,6.0,3.0,13.0,34.0,1.51,91.0,56.0,63.7,31.4,-2.6,0.33,1.0,1.0,0.0,43.2,746.0,78.0,25.1,29.9,36.0,11.3,12.9
1507,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,35-060,1989.0,5,5,5,5,5,450,5.0,0.0,0.0,5.0,0.0,0.0,13.0,2.6,37.0,24.0,70.3,12.6,-0.4,0.29,2.0,0.0,0.0,46.2,132.0,29.0,33.3,29.5,8.0,10.8,6.5
1532,Alex Meret,it ITA,GK,Napoli,it Serie A,27-316,1997.0,19,19,19,19,19,1655,18.4,14.0,2.0,3.0,9.0,47.4,14.0,0.76,51.0,36.0,74.5,15.9,1.9,0.28,1.0,1.0,1.0,40.0,492.0,69.0,15.2,27.3,15.0,7.5,15.6
1541,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,33-294,1991.0,2,2,2,2,2,180,2.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,11.0,7.0,63.6,4.0,0.0,0.36,0.0,0.0,0.0,24.2,76.0,3.0,35.5,34.8,1.0,4.2,14.8
1550,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27-347,1997.0,21,21,21,21,21,1890,21.0,6.0,8.0,7.0,7.0,33.3,23.0,1.1,98.0,74.0,76.5,26.3,4.3,0.26,0.0,2.0,0.0,30.7,760.0,106.0,36.4,35.9,17.0,5.1,13.3
1585,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,28-347,1996.0,21,21,21,21,21,1890,21.0,6.0,2.0,13.0,3.0,14.3,47.0,2.24,107.0,61.0,57.0,32.7,-13.3,0.3,1.0,0.0,1.0,27.0,435.0,59.0,55.2,41.9,18.0,5.7,10.8
1617,Florian Müller,de GER,GK,Freiburg,de Bundesliga,27-080,1997.0,3,3,3,3,3,270,3.0,1.0,0.0,2.0,0.0,0.0,7.0,2.33,12.0,5.0,58.3,5.9,-1.1,0.39,2.0,0.0,0.0,27.4,106.0,9.0,46.2,37.2,0.0,0.0,12.5
